[start] episodes=300
Episode 67/300, BossReward: 666.90, EnemyReward: 242.60, eps(B):0.01, eps(E):0.01
Episode 68/300, BossReward: 649.10, EnemyReward: 269.25, eps(B):0.01, eps(E):0.01
Episode 69/300, BossReward: 643.90, EnemyReward: 277.10, eps(B):0.01, eps(E):0.01
Episode 70/300, BossReward: 634.90, EnemyReward: 140.30, eps(B):0.01, eps(E):0.01
Episode 71/300, BossReward: 697.90, EnemyReward: 45.60, eps(B):0.01, eps(E):0.01
Episode 72/300, BossReward: 707.70, EnemyReward: 31.20, eps(B):0.01, eps(E):0.01
Episode 73/300, BossReward: 696.90, EnemyReward: 47.50, eps(B):0.01, eps(E):0.01
Episode 74/300, BossReward: 697.90, EnemyReward: 195.75, eps(B):0.01, eps(E):0.01
Episode 75/300, BossReward: 459.60, EnemyReward: 403.35, eps(B):0.01, eps(E):0.01
Episode 76/300, BossReward: 644.90, EnemyReward: 325.20, eps(B):0.01, eps(E):0.01
Episode 77/300, BossReward: 697.20, EnemyReward: 46.70, eps(B):0.01, eps(E):0.01
Episode 78/300, BossReward: 645.20, EnemyReward: 274.75, eps(B):0.01, eps(E):0.01
Episode 79/300, BossReward: 705.90, EnemyReward: 33.75, eps(B):0.01, eps(E):0.01
Episode 80/300, BossReward: 677.70, EnemyReward: 226.15, eps(B):0.01, eps(E):0.01
Episode 81/300, BossReward: 684.80, EnemyReward: 115.55, eps(B):0.01, eps(E):0.01
Episode 82/300, BossReward: 699.20, EnemyReward: 243.70, eps(B):0.01, eps(E):0.01
Episode 83/300, BossReward: 669.40, EnemyReward: 88.75, eps(B):0.01, eps(E):0.01
Episode 84/300, BossReward: 703.70, EnemyReward: 37.15, eps(B):0.01, eps(E):0.01
Episode 85/300, BossReward: 682.80, EnemyReward: 268.45, eps(B):0.01, eps(E):0.01
Episode 86/300, BossReward: 622.20, EnemyReward: 311.30, eps(B):0.01, eps(E):0.01
Episode 87/300, BossReward: 641.10, EnemyReward: 330.50, eps(B):0.01, eps(E):0.01
Episode 88/300, BossReward: 453.50, EnemyReward: 512.50, eps(B):0.01, eps(E):0.01
Episode 89/300, BossReward: 634.60, EnemyReward: 141.20, eps(B):0.01, eps(E):0.01
Episode 90/300, BossReward: 728.40, EnemyReward: 10.80, eps(B):0.01, eps(E):0.01
Episode 91/300, BossReward: 596.20, EnemyReward: 448.35, eps(B):0.01, eps(E):0.01
Episode 92/300, BossReward: 635.20, EnemyReward: 390.00, eps(B):0.01, eps(E):0.01
Episode 93/300, BossReward: 513.50, EnemyReward: 472.45, eps(B):0.01, eps(E):0.01
Episode 94/300, BossReward: 710.00, EnemyReward: 28.75, eps(B):0.01, eps(E):0.01
Episode 95/300, BossReward: 627.10, EnemyReward: 151.95, eps(B):0.01, eps(E):0.01
Episode 96/300, BossReward: 618.80, EnemyReward: 364.65, eps(B):0.01, eps(E):0.01
Episode 97/300, BossReward: 698.00, EnemyReward: 245.70, eps(B):0.01, eps(E):0.01
Episode 98/300, BossReward: 620.00, EnemyReward: 212.55, eps(B):0.01, eps(E):0.01
Episode 99/300, BossReward: 684.70, EnemyReward: 65.50, eps(B):0.01, eps(E):0.01
Episode 100/300, BossReward: 484.00, EnemyReward: 366.55, eps(B):0.01, eps(E):0.01
